time	trial	cursorx	cursory	hand_x	hand_Y	rotation	step	targetangle	targetposx	targetposy	garagelocation	garageposx	garageposy	homex	homey	group	trial_type
1	0	0.68367	-7.3354	0.68367	-7.3354	0	5	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	29.764	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	46.299	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	62.97	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	79.501	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	96.047	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	112.66	0.62334	-7.5284	0.62334	-7.5284	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	129.34	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	145.88	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	162.45	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	179.15	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	195.51	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	212.24	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	228.53	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	245.43	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	262	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	278.71	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	295.25	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	311.8	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	328.43	0.62334	-7.4962	0.62334	-7.4962	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	345	0.62334	-7.464	0.62334	-7.464	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	361.56	0.62334	-7.464	0.62334	-7.464	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	378.18	0.62334	-7.464	0.62334	-7.464	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	394.82	0.62334	-7.4319	0.62334	-7.4319	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	411.38	0.60324	-7.3997	0.60324	-7.3997	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	427.93	0.58313	-7.3997	0.58313	-7.3997	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	444.61	0.54291	-7.3354	0.54291	-7.3354	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	461.17	0.44237	-7.1745	0.44237	-7.1745	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	477.76	0.36194	-7.078	0.36194	-7.078	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	494.39	0.16086	-6.7562	0.16086	-6.7562	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	510.94	-0.060324	-6.4345	-0.060324	-6.4345	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	527.55	-0.20108	-6.2415	-0.20108	-6.2415	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	543.98	-0.48259	-5.8232	-0.48259	-5.8232	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	560.73	-0.78421	-5.3407	-0.78421	-5.3407	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	577.01	-0.94507	-5.0511	-0.94507	-5.0511	0	1	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	593.93	-1.2869	-4.472	-1.2869	-4.472	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	610.49	-1.6086	-3.8285	-1.6086	-3.8285	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	627.14	-1.7695	-3.4746	-1.7695	-3.4746	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	643.77	-2.0108	-2.8312	-2.0108	-2.8312	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	660.33	-2.2119	-2.1556	-2.2119	-2.1556	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	676.91	-2.3124	-1.8017	-2.3124	-1.8017	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	693.5	-2.4733	-1.8017	-2.4733	-1.126	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	710.09	-2.5537	-1.8017	-2.5537	-0.83649	0	2	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	726.7	-2.7347	-1.8017	-2.7347	-0.25738	0	3	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	743.41	-2.8754	-1.8017	-2.8754	0.32173	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	759.92	-2.9358	-1.8017	-2.9358	0.86866	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	776.42	-2.9358	-1.8017	-2.9358	1.1582	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	793.05	-2.9559	-1.8017	-2.9559	1.673	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	809.71	-2.9559	-1.8017	-2.9559	1.8982	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
1	826.25	-2.9358	-1.8017	-2.9358	2.2521	0	4	90	7.3479e-16	4.6562	1	9	3.6562	0	-7.3438	1	-1
